Date,ADA-USD,ATOM-USD,AVAX-USD,AXS-USD,BTC-USD,ETH-USD,LINK-USD,LUNA1-USD,MATIC-USD,SOL-USD
2017-11-19,4725050.0,,,,3149319936,1181529984.0,1646620.0,,,
2017-11-20,16172400.0,,,,3488450048,807027008.0,1916880.0,,,
2017-11-21,5836790.0,,,,4277609984,949912000.0,1952710.0,,,
2017-11-22,4938480.0,,,,3633530112,800819008.0,2709660.0,,,
2017-11-23,5132300.0,,,,4225179904,1845680000.0,3325760.0,,,
2017-11-24,5502350.0,,,,5058610176,2292829952.0,3763260.0,,,
2017-11-25,6156460.0,,,,4342060032,1422080000.0,2292830.0,,,
2017-11-26,30527100.0,,,,5475579904,1197779968.0,1860700.0,,,
2017-11-27,77777296.0,,,,5653320192,1396480000.0,4242550.0,,,
2017-11-28,240338000.0,,,,6348819968,1346499968.0,5251760.0,,,
2017-11-29,210624992.0,,,,11568799744,2675940096.0,5052720.0,,,
2017-11-30,124345000.0,,,,8310689792,1903040000.0,4621870.0,,,
2017-12-01,73657600.0,,,,6783119872,1247879936.0,4352980.0,,,
2017-12-02,56712600.0,,,,5138500096,943649984.0,7396790.0,,,
2017-12-03,46458900.0,,,,6608309760,990556992.0,8765840.0,,,
2017-12-04,76392704.0,,,,6132409856,1005550016.0,6981590.0,,,
2017-12-05,50381100.0,,,,6895260160,1216720000.0,12459200.0,,,
2017-12-06,75688800.0,,,,12656300032,1998259968.0,12387900.0,,,
2017-12-07,71024600.0,,,,17950699520,2129570048.0,6697780.0,,,
2017-12-08,70092400.0,,,,21135998976,2336379904.0,4528570.0,,,
2017-12-09,63308600.0,,,,13911300096,2003849984.0,3173600.0,,,
2017-12-10,46376600.0,,,,13433299968,1404179968.0,3142570.0,,,
2017-12-11,39513900.0,,,,12153900032,1771440000.0,7534170.0,,,
2017-12-12,60056800.0,,,,14603799552,5179829760.0,10320200.0,,,
2017-12-13,61575000.0,,,,12976900096,4524539904.0,10439800.0,,,
2017-12-14,309307008.0,,,,13777399808,3821580032.0,16021700.0,,,
2017-12-15,207311008.0,,,,14309999616,2758710016.0,13211800.0,,,
2017-12-16,581052032.0,,,,12740599808,2165690112.0,13859700.0,,,
2017-12-17,628142976.0,,,,13314599936,2147389952.0,20035600.0,,,
2017-12-18,253463008.0,,,,14839499776,3249230080.0,18220400.0,,,
2017-12-19,279631008.0,,,,16894499840,4096549888.0,13254800.0,,,
2017-12-20,182924000.0,,,,22149699584,3969939968.0,10481200.0,,,
2017-12-21,162926000.0,,,,16516599808,3569060096.0,12030600.0,,,
2017-12-22,150972992.0,,,,22197999616,4977710080.0,14979800.0,,,
2017-12-23,88865000.0,,,,13086000128,2480339968.0,24055000.0,,,
2017-12-24,67372304.0,,,,11572299776,2300549888.0,15183200.0,,,
2017-12-25,122194000.0,,,,10664699904,2491760128.0,7740550.0,,,
2017-12-26,94896000.0,,,,13454300160,2201159936.0,10452900.0,,,
2017-12-27,82067504.0,,,,12487600128,2100029952.0,6065390.0,,,
2017-12-28,82263800.0,,,,12336499712,2389149952.0,5458410.0,,,
2017-12-29,266403008.0,,,,13025500160,2648969984.0,5757530.0,,,
2017-12-30,645155968.0,,,,14452599808,3187780096.0,9126190.0,,,
2017-12-31,305947008.0,,,,12136299520,2554269952.0,9962080.0,,,
2018-01-01,150186000.0,,,,10291200000,2595760128.0,11506300.0,,,
